agent_id,age,tenure_months,commute_minutes,hiring_source,shift_type,queue_type,education,dependents,prior_jobs,compa_ratio,months_since_increment,ijp_rejections,aht_delta_pct,acw_pct_delta_pp,avail_time_delta_pct,adherence_delta_pp,break_overrun_min_30d,late_logins_30d,avg_minutes_late,early_departures_30d,unplanned_absences_30d,fri_mon_absence_ratio,ncns_90d,pto_burn_rate,pto_rejections_180d,shift_swap_requests_30d,short_calls_rate_delta_pp,transfer_rate_delta_pp,occupancy_90d,tl_attrition_rate_6m,team_exits_60d,batch_attrition_rate,attrition_90d
AGT101385,27,1,56,Job Portal,Rotational,Escalations,Postgraduate,4,1,1.005,7,0,14.7,2.43,-0.0,-8.26,17.8,2,14.5,2,4,0.52,1,1.72,0,2,1.37,1.97,91.6,0.396,2,0.316,0
AGT101386,33,4,43,Walk-in,Rotational,Voice-Collections,Graduate,0,0,0.842,12,0,9.8,2.48,-11.6,-7.79,14.8,6,17.9,3,6,0.47,0,1.45,5,5,4.26,2.51,97.8,0.276,3,0.374,0
AGT101387,22,4,64,Job Portal,Split,Voice-Support,Postgraduate,3,1,0.805,11,2,33.7,6.1,-9.2,-17.57,22.8,3,14.1,5,4,0.96,2,2.5,5,7,6.04,4.81,88.9,0.421,7,0.361,1
AGT101388,29,36,50,Walk-in,Night Fixed,Voice-Support,Graduate,0,2,1.121,0,0,1.1,0.4,3.2,2.52,0.0,0,0.0,0,1,0.0,0,0.03,1,2,0.36,0.87,86.7,0.124,0,0.365,0
AGT101389,22,1,31,Walk-in,Day Fixed,Voice-Support,Graduate,0,1,0.924,4,0,0.9,1.94,-6.4,1.04,18.7,5,9.6,2,0,0.0,0,0.75,1,1,1.27,0.04,81.3,0.177,3,0.445,0
AGT101390,24,16,70,Job Portal,Rotational,Voice-Collections,Postgraduate,3,2,1.143,5,0,-2.4,-0.23,3.1,2.54,0.0,0,0.0,0,1,0.2,0,0.47,0,1,0.95,-0.0,90.9,0.047,1,0.176,0
AGT101391,34,7,33,Job Portal,Rotational,Voice-Collections,Graduate,0,4,0.969,10,2,8.7,-0.8,-0.6,1.47,0.4,2,6.0,1,1,0.19,0,1.55,0,1,0.17,-0.53,86.6,0.038,1,0.215,0
AGT101392,24,1,80,Walk-in,Night Fixed,Chat,Postgraduate,1,4,1.013,15,1,10.5,1.31,-6.4,-3.03,4.2,1,14.2,3,3,0.48,0,1.79,1,4,0.49,2.77,76.4,0.108,1,0.238,0
AGT101393,29,4,32,Job Portal,Rotational,Voice-Support,Undergraduate,2,1,1.083,1,0,-5.5,3.05,3.5,1.05,0.0,0,0.0,0,0,0.0,0,0.13,0,0,0.31,-0.06,84.7,0.129,0,0.235,0
AGT101394,19,34,20,Referral,Night Fixed,Voice-Support,Undergraduate,0,2,1.095,18,0,-7.5,-2.95,-5.5,1.12,6.3,2,7.8,2,4,0.23,0,0.41,2,1,-0.72,0.88,76.0,0.359,3,0.226,0
AGT101395,36,3,87,Walk-in,Day Fixed,Chat,Undergraduate,2,1,0.949,12,0,6.3,1.41,-7.0,-3.32,11.6,4,3.3,1,5,0.65,0,1.45,1,7,2.2,0.27,86.2,0.241,1,0.341,1
AGT101396,30,10,32,Job Portal,Day Fixed,Chat,Postgraduate,1,1,1.007,2,0,18.6,-0.37,1.9,-1.45,8.7,2,7.9,1,1,0.54,0,1.55,1,2,-0.36,-1.59,89.7,0.133,5,0.206,0
AGT101397,26,35,33,Walk-in,Day Fixed,Voice-Collections,Undergraduate,0,0,0.998,9,0,-0.7,-1.16,0.4,-1.46,0.9,1,0.0,0,0,0.0,0,1.07,2,1,-1.36,-0.28,82.1,0.424,2,0.272,0
AGT101398,30,9,21,Job Portal,Rotational,Email,Graduate,0,2,1.038,2,1,10.2,1.86,0.3,-1.36,7.3,2,10.2,0,0,0.0,0,1.07,0,1,0.83,-0.6,79.5,0.314,2,0.396,0
AGT101399,20,76,41,Job Portal,Day Fixed,Email,Graduate,0,2,1.019,18,2,-3.1,-0.83,5.5,-1.93,5.9,2,7.5,0,1,0.38,0,1.11,0,1,0.37,-0.94,95.8,0.189,1,0.168,0
AGT101400,33,18,22,Job Portal,Rotational,Escalations,Graduate,1,1,0.927,11,2,4.9,-0.14,-5.0,-6.32,13.1,3,11.6,0,4,0.4,0,0.0,0,0,0.22,1.02,85.8,0.419,1,0.041,0
AGT101401,25,10,84,Job Portal,Day Fixed,Voice-Support,Graduate,0,2,1.015,4,0,1.9,-1.31,-4.0,2.85,2.7,0,0.0,2,1,0.33,0,0.55,0,0,1.26,1.2,87.6,0.179,1,0.318,1
AGT101402,26,26,36,Job Portal,Rotational,Escalations,Graduate,2,1,0.854,0,0,-1.6,1.35,0.1,-2.69,6.2,4,11.0,0,0,0.0,0,1.04,0,4,0.59,0.25,86.2,0.278,2,0.199,1
AGT101403,25,10,26,Walk-in,Night Fixed,Chat,Undergraduate,1,1,1.0,36,0,6.4,1.38,-0.4,1.13,8.8,3,5.7,0,3,0.4,0,1.2,1,2,0.52,1.6,90.1,0.538,1,0.259,0
AGT101404,24,10,44,Job Portal,Day Fixed,Chat,Graduate,0,3,1.012,3,0,-2.6,0.86,-3.5,-0.51,8.6,1,8.2,1,2,0.4,0,0.94,1,2,1.44,-0.01,88.5,0.288,1,0.198,0
AGT101405,30,13,121,Referral,Rotational,Chat,Postgraduate,2,1,0.902,14,0,11.9,0.65,1.7,-0.21,7.5,4,9.0,1,4,0.8,0,1.66,1,6,1.29,-0.68,82.8,0.2,1,0.25,1
AGT101406,28,7,46,Job Portal,Split,Voice-Support,Undergraduate,1,2,0.972,0,0,5.7,-0.86,-5.7,1.91,2.0,3,8.7,0,1,0.52,0,1.06,0,1,-0.27,-0.64,74.2,0.099,1,0.204,0
AGT101407,30,11,38,Referral,Split,Chat,Undergraduate,4,1,0.949,8,0,11.4,1.24,-1.5,-1.46,8.3,1,0.5,3,1,0.4,0,1.31,0,4,-0.24,2.32,80.7,0.363,2,0.677,0
AGT101408,27,23,44,Job Portal,Day Fixed,Email,Postgraduate,1,3,0.951,9,0,6.6,4.29,-7.7,-3.73,10.3,7,12.1,1,2,0.55,3,1.56,1,6,0.46,1.68,84.7,0.452,2,0.232,0
AGT101409,30,22,65,Referral,Night Fixed,Escalations,Undergraduate,3,1,1.076,8,0,7.0,0.07,-0.8,0.03,8.3,1,4.3,0,1,0.34,0,0.56,1,1,-1.88,-1.58,90.6,0.321,6,0.206,0
AGT101410,25,1,62,Referral,Day Fixed,Voice-Collections,Undergraduate,3,2,1.046,1,1,-6.2,-3.1,2.5,3.3,0.0,0,0.0,0,0,0.0,0,0.67,0,0,0.35,-1.61,93.4,0.149,2,0.039,0
AGT101411,38,9,50,Walk-in,Night Fixed,Escalations,Postgraduate,1,4,1.096,24,0,7.7,3.53,0.3,0.1,4.6,3,6.6,1,2,0.42,0,0.6,0,2,1.99,0.15,82.7,0.09,2,0.036,0
AGT101412,19,4,71,Referral,Night Fixed,Voice-Support,Graduate,1,3,1.208,1,0,-0.3,0.35,-1.2,-1.91,0.0,0,0.0,0,1,0.13,0,0.84,0,1,-0.65,-0.8,95.7,0.192,1,0.027,0
AGT101413,33,4,45,Job Portal,Split,Escalations,Graduate,0,2,1.11,5,0,-2.2,-0.63,3.2,-2.87,3.3,0,0.0,0,0,0.0,0,0.11,1,0,-0.66,1.15,87.3,0.031,0,0.283,0
AGT101414,34,9,40,Job Portal,Rotational,Chat,Postgraduate,1,1,0.846,3,2,4.0,-1.57,5.4,-2.68,0.0,0,0.0,0,1,0.26,0,0.51,2,1,-0.25,-0.85,85.6,0.182,2,0.302,0
AGT101415,23,20,45,Referral,Day Fixed,Chat,Graduate,1,1,0.934,11,0,-8.2,4.0,-4.0,3.95,0.0,0,0.0,0,1,0.02,0,1.03,0,0,-0.72,1.57,85.9,0.112,0,0.464,0
AGT101416,38,4,32,Walk-in,Split,Chat,Undergraduate,1,2,1.134,0,0,-0.5,0.8,1.3,-0.45,5.0,3,0.0,1,0,0.0,0,1.29,0,1,0.38,0.08,88.9,0.219,2,0.613,0
AGT101417,32,4,66,Referral,Rotational,Escalations,Graduate,0,3,0.961,8,1,8.1,3.37,-2.4,0.12,5.0,1,2.5,1,2,0.52,0,1.34,1,1,1.77,0.47,84.7,0.161,3,0.355,0
AGT101418,32,26,32,Job Portal,Day Fixed,Voice-Support,Postgraduate,3,2,0.954,5,0,-12.6,-0.8,-4.2,0.27,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.77,-0.92,84.6,0.076,1,0.03,0
AGT101419,27,4,13,Job Portal,Rotational,Voice-Collections,Graduate,0,2,1.033,26,0,-4.5,-0.6,4.4,3.52,2.2,0,0.0,1,2,0.54,0,0.93,0,2,1.72,0.37,89.9,0.127,1,0.262,0
AGT101420,26,6,18,Job Portal,Rotational,Email,Graduate,2,0,0.972,2,2,-5.3,-1.88,2.2,2.33,6.6,0,0.0,0,0,0.0,0,0.29,1,1,-0.95,0.8,91.2,0.144,3,0.269,0
AGT101421,26,5,52,Job Portal,Night Fixed,Voice-Support,Graduate,3,1,1.171,20,0,-9.9,1.96,-3.5,5.7,1.0,0,0.0,0,1,0.12,0,0.74,0,1,-0.18,-0.29,84.5,0.225,2,0.439,0
AGT101422,29,3,29,Job Portal,Day Fixed,Chat,Undergraduate,0,1,0.984,9,0,-1.4,3.12,5.4,-0.21,1.8,3,7.3,1,1,0.22,0,1.21,1,0,0.69,-0.36,83.9,0.178,2,0.358,0
AGT101423,34,24,63,Walk-in,Day Fixed,Voice-Collections,Graduate,1,1,1.241,6,0,7.3,-3.12,7.0,4.25,4.3,0,0.0,0,0,0.0,0,0.77,1,1,3.43,1.11,79.4,0.179,1,0.19,0
AGT101424,28,70,43,Job Portal,Day Fixed,Email,Undergraduate,1,1,0.944,4,0,1.3,-0.74,-2.5,2.21,0.0,0,0.0,0,0,0.0,0,1.01,0,2,0.63,0.61,82.1,0.129,1,0.353,0
AGT101425,22,2,66,Job Portal,Rotational,Escalations,Graduate,4,2,0.934,2,0,6.7,6.49,-0.2,-4.81,11.1,4,23.8,1,5,0.48,2,1.34,1,3,2.77,4.47,91.2,0.358,2,0.426,1
AGT101426,31,6,14,Job Portal,Day Fixed,Voice-Support,Undergraduate,3,1,0.916,17,2,2.0,-1.03,-1.1,-0.77,0.0,0,0.0,0,0,0.0,0,0.21,0,1,1.17,0.1,84.7,0.157,2,0.135,0
AGT101427,32,6,31,Job Portal,Night Fixed,Chat,Undergraduate,1,1,0.921,9,0,5.9,-0.92,-6.3,-1.57,0.0,0,0.0,0,3,0.44,1,0.9,0,1,1.94,0.19,89.8,0.146,4,0.095,0
AGT101428,30,3,26,Job Portal,Split,Voice-Collections,Undergraduate,4,3,1.072,11,0,-0.8,2.37,-6.4,-0.17,2.3,5,8.4,1,1,0.51,1,1.59,0,2,1.24,-0.2,80.2,0.169,1,0.393,0
AGT101429,31,12,133,Referral,Split,Chat,Graduate,0,2,0.866,4,0,9.3,5.04,-7.8,-3.37,11.3,4,14.9,2,4,0.59,0,0.89,1,1,1.42,0.56,86.0,0.247,1,0.299,0
AGT101430,26,36,34,Job Portal,Rotational,Voice-Support,Graduate,0,4,0.9,2,0,-1.2,0.82,-3.7,0.54,4.3,0,0.0,0,0,0.0,0,1.04,1,0,-1.13,0.93,87.7,0.181,2,0.218,0
AGT101431,22,1,18,Referral,Rotational,Voice-Support,Graduate,1,1,1.052,6,0,-1.2,0.23,-3.5,0.61,3.4,0,0.0,0,1,0.58,0,1.05,0,0,1.12,-1.24,94.3,0.277,3,0.053,0
AGT101432,23,32,52,Referral,Split,Voice-Collections,Graduate,2,2,0.783,3,0,-2.2,3.48,-1.2,-2.81,2.7,0,0.0,0,1,0.09,0,0.49,1,1,-1.0,0.97,72.7,0.072,0,0.382,0
AGT101433,19,6,25,Job Portal,Rotational,Voice-Support,Graduate,0,0,0.853,12,1,13.6,3.08,-7.3,-4.52,14.7,4,22.1,2,5,0.5,0,1.83,1,2,3.42,1.59,90.2,0.517,3,0.349,0
AGT101434,28,36,69,Referral,Night Fixed,Chat,Postgraduate,2,0,0.995,28,0,-1.2,-1.03,-7.0,4.12,4.5,1,8.7,0,2,0.22,0,1.09,0,1,0.28,2.4,84.9,0.184,3,0.076,0
AGT101435,27,7,75,Job Portal,Day Fixed,Voice-Support,Graduate,0,0,1.041,9,0,0.9,0.06,-2.2,-5.54,4.3,0,0.0,0,0,0.0,0,1.27,2,1,-1.44,0.77,84.6,0.128,2,0.495,0
AGT101436,25,5,26,Job Portal,Day Fixed,Escalations,Undergraduate,0,1,0.966,14,0,-15.2,-0.53,2.7,-1.77,0.0,1,0.0,0,0,0.0,0,0.49,0,0,-0.01,-1.18,72.7,0.192,0,0.258,0
AGT101437,19,1,98,Referral,Night Fixed,Email,Postgraduate,4,0,1.044,0,2,7.0,2.98,-8.4,-6.34,14.5,1,9.5,1,2,0.64,1,1.33,2,3,1.91,0.65,75.4,0.303,2,0.396,1
AGT101438,21,1,29,Referral,Day Fixed,Chat,Graduate,2,4,0.914,36,1,-2.2,3.59,-8.8,-3.04,14.3,4,4.2,4,3,0.54,2,1.63,1,2,4.4,0.31,87.3,0.362,3,0.37,1
AGT101439,33,21,49,Referral,Night Fixed,Email,Graduate,1,2,1.151,10,0,-5.0,0.95,-5.3,0.4,4.0,0,0.0,0,0,0.0,0,0.0,0,0,0.45,1.65,93.1,0.169,1,0.645,0
AGT101440,24,37,70,Job Portal,Day Fixed,Escalations,Undergraduate,2,2,1.091,7,0,-10.2,-0.93,-3.2,3.97,1.6,0,0.0,0,0,0.0,0,0.15,1,0,2.31,0.27,85.6,0.082,0,0.112,0
AGT101441,29,10,52,Referral,Rotational,Email,Postgraduate,1,0,0.919,7,0,4.2,0.55,6.0,-6.33,3.8,2,8.1,2,0,0.0,0,1.4,1,1,2.1,0.78,93.3,0.112,1,0.48,0
AGT101442,20,14,34,Job Portal,Night Fixed,Chat,Postgraduate,0,1,0.981,26,0,-0.4,-2.11,2.6,-4.31,0.1,0,0.0,2,0,0.0,0,1.25,4,0,0.95,1.36,67.2,0.123,2,0.152,0
AGT101443,34,1,20,Job Portal,Day Fixed,Voice-Collections,Graduate,1,1,0.804,1,1,-1.3,0.03,-1.2,-0.61,2.6,2,14.1,2,4,0.22,0,0.9,2,0,1.51,-0.75,74.2,0.248,1,0.388,0
AGT101444,26,26,96,Job Portal,Rotational,Email,Undergraduate,4,0,1.093,1,0,3.9,2.89,-6.9,1.25,5.5,1,7.9,1,3,0.44,2,0.77,2,0,1.05,0.48,73.6,0.426,2,0.495,0
AGT101445,28,11,53,Referral,Day Fixed,Chat,Undergraduate,0,4,0.872,22,0,2.7,1.73,-5.4,-6.4,10.9,3,11.4,0,3,0.4,0,1.15,2,3,1.38,0.91,90.5,0.212,2,0.201,0
AGT101446,39,43,106,Job Portal,Night Fixed,Voice-Collections,Graduate,0,0,0.946,11,0,-2.0,-0.27,2.5,4.22,0.0,0,0.0,0,0,0.0,0,0.02,0,2,2.69,2.18,87.4,0.069,0,0.307,0
AGT101447,35,16,57,Job Portal,Day Fixed,Voice-Collections,Graduate,2,1,0.971,8,0,-9.8,0.44,2.4,7.35,0.0,0,0.0,0,0,0.0,0,0.47,1,1,-1.2,0.24,84.2,0.085,1,0.204,0
AGT101448,25,10,99,Job Portal,Rotational,Voice-Support,Graduate,1,2,0.862,3,0,-5.6,-0.62,1.0,1.38,0.0,1,0.0,0,0,0.0,0,0.58,0,0,-1.85,1.21,89.9,0.042,1,0.294,0
AGT101449,24,1,28,Walk-in,Rotational,Email,Graduate,0,2,0.917,1,1,17.1,8.27,-5.2,-10.29,18.1,7,13.2,2,2,0.85,3,1.3,3,3,4.37,3.22,82.6,0.26,2,0.299,0
AGT101450,25,31,29,Referral,Day Fixed,Email,Graduate,1,2,1.037,6,1,-1.8,-1.19,-3.9,1.97,0.0,0,0.0,0,1,0.28,0,0.33,1,0,1.4,0.33,91.9,0.124,0,0.645,0
AGT101451,30,17,39,Referral,Rotational,Voice-Support,Undergraduate,3,3,0.95,2,0,-2.9,1.37,3.3,-0.55,9.8,1,0.6,1,0,0.0,0,0.75,2,1,-0.5,-1.84,93.8,0.199,2,0.131,0
AGT101452,26,16,27,Job Portal,Rotational,Voice-Support,Postgraduate,0,1,1.087,17,1,-6.0,2.33,0.1,-3.53,4.7,2,0.0,0,3,0.47,0,0.6,1,3,1.33,0.64,73.7,0.093,2,0.295,0
AGT101453,25,35,16,Walk-in,Split,Escalations,Graduate,0,0,1.074,1,1,-9.6,-0.49,3.4,-2.21,0.0,0,0.0,0,0,0.0,0,0.29,0,0,-0.78,-0.84,88.5,0.187,2,0.293,0
AGT101454,34,3,31,Job Portal,Rotational,Voice-Support,Postgraduate,1,2,0.915,21,0,-4.9,1.66,-1.3,-2.15,5.6,0,0.0,0,2,0.16,0,0.0,0,1,0.8,-0.92,88.3,0.031,0,0.06,0
AGT101455,26,28,56,Job Portal,Rotational,Chat,Graduate,1,1,0.955,10,1,-7.5,-1.26,3.9,2.82,4.0,0,0.0,0,2,0.21,0,1.08,1,0,2.51,-0.97,77.3,0.256,1,0.172,0
AGT101456,38,1,22,Referral,Day Fixed,Voice-Collections,Undergraduate,0,1,0.955,22,1,-3.8,-0.94,3.4,0.12,5.2,2,5.3,0,2,0.69,0,1.62,0,1,1.02,0.59,75.2,0.156,0,0.161,0
AGT101457,27,1,23,Job Portal,Day Fixed,Voice-Collections,Graduate,1,3,0.96,6,1,-3.1,1.14,-1.6,-0.34,7.8,1,2.4,0,0,0.0,1,0.56,0,2,-0.41,-0.2,83.5,0.165,3,0.393,0
AGT101458,36,38,32,Job Portal,Day Fixed,Voice-Support,Postgraduate,1,3,1.147,10,0,-5.5,-0.48,2.1,4.98,0.0,0,0.0,0,0,0.0,0,0.22,1,0,0.06,0.45,85.9,0.234,2,0.401,0
AGT101459,29,43,25,Job Portal,Night Fixed,Voice-Support,Graduate,1,3,1.019,18,0,-2.0,2.35,2.0,1.1,0.0,0,0.0,0,0,0.0,0,0.29,0,2,1.86,-0.99,88.1,0.057,0,0.113,0
AGT101460,32,2,33,Job Portal,Split,Chat,Graduate,1,3,0.834,23,0,0.3,4.33,-0.4,-4.98,11.4,4,8.2,2,3,0.27,0,1.34,0,2,0.79,0.68,92.3,0.272,0,0.481,0
AGT101461,23,5,41,Job Portal,Day Fixed,Voice-Support,Undergraduate,0,0,0.935,21,1,0.6,0.75,-5.8,-5.58,10.8,3,5.6,2,2,0.64,1,0.78,1,5,3.13,1.21,84.6,0.113,4,0.361,0
AGT101462,23,7,22,Job Portal,Night Fixed,Email,Graduate,0,3,0.954,3,1,-11.1,-1.2,2.1,2.06,6.5,0,0.0,0,0,0.0,0,0.41,0,1,-0.23,-1.49,85.4,0.16,1,0.334,0
AGT101463,29,31,32,Referral,Split,Escalations,Undergraduate,2,2,1.042,36,0,7.8,0.57,-1.9,-3.25,17.8,5,9.1,2,3,0.7,0,1.08,2,6,3.04,1.65,98.0,0.236,0,0.347,1
AGT101464,32,29,42,Job Portal,Day Fixed,Email,Graduate,1,2,1.18,3,1,3.0,2.16,2.6,0.24,0.0,0,0.0,0,1,0.17,0,1.09,1,1,2.67,-0.27,86.1,0.026,3,0.29,0
AGT101465,27,6,27,Referral,Day Fixed,Voice-Collections,Postgraduate,0,2,1.079,0,0,-1.4,-0.14,0.8,5.14,1.9,0,0.0,0,0,0.0,0,0.78,0,0,0.7,0.48,80.7,0.207,2,0.198,0
AGT101466,21,24,20,Job Portal,Day Fixed,Voice-Collections,Graduate,1,2,0.99,4,0,-8.7,1.94,3.4,-3.25,1.1,1,1.8,0,0,0.0,0,0.88,0,1,1.03,-0.48,88.4,0.168,1,0.434,0
AGT101467,20,1,28,Referral,Day Fixed,Voice-Support,Graduate,0,0,0.915,9,0,-4.3,4.96,-7.8,-6.59,10.2,1,11.5,3,5,0.78,0,1.62,4,2,2.82,2.11,81.3,0.469,1,0.687,0
AGT101468,20,4,35,Walk-in,Night Fixed,Chat,Graduate,3,2,1.142,16,0,11.4,1.29,-1.8,8.01,0.0,0,0.0,0,0,0.0,0,0.46,0,0,-3.16,-0.25,81.4,0.235,2,0.13,0
AGT101469,19,12,16,Job Portal,Night Fixed,Voice-Collections,Undergraduate,2,0,0.97,21,0,10.2,-0.94,-2.5,-2.96,14.9,5,4.8,0,3,0.31,0,1.61,0,1,2.29,0.11,77.8,0.171,3,0.39,0
AGT101470,28,10,57,Job Portal,Rotational,Email,Undergraduate,0,4,0.858,17,0,3.4,3.36,2.9,-5.63,11.5,2,9.6,1,2,0.27,0,1.44,2,5,0.72,0.84,86.0,0.226,4,0.139,0
AGT101471,33,9,36,Job Portal,Day Fixed,Chat,Graduate,0,2,1.036,20,0,2.1,0.13,-1.6,-1.47,0.0,0,0.0,0,0,0.0,0,0.67,0,1,-1.95,0.26,92.6,0.112,0,0.311,0
AGT101472,27,2,28,Job Portal,Rotational,Voice-Support,Graduate,0,1,0.876,1,0,-0.8,-0.93,-1.5,0.6,0.7,0,0.0,0,2,0.25,0,1.15,0,0,-0.36,0.0,87.0,0.187,2,0.46,0
AGT101473,19,26,17,Job Portal,Day Fixed,Voice-Collections,Graduate,0,1,1.066,14,2,2.0,0.36,-0.5,-2.06,6.1,4,4.8,0,0,0.0,0,1.4,0,0,-0.11,0.96,88.4,0.069,2,0.523,0
AGT101474,26,4,53,Job Portal,Night Fixed,Chat,Undergraduate,1,2,0.961,2,0,-7.5,-1.71,0.8,2.15,0.0,0,0.0,0,0,0.0,0,0.85,1,0,-0.44,1.25,88.7,0.133,2,0.149,0
AGT101475,26,25,75,Referral,Day Fixed,Email,Graduate,0,5,0.969,2,2,1.8,0.76,-0.4,-0.77,8.0,2,10.6,3,3,0.48,0,1.49,2,0,2.57,0.73,93.1,0.167,1,0.481,0
AGT101476,37,22,31,Job Portal,Rotational,Voice-Support,Undergraduate,2,6,0.725,5,0,1.9,-2.06,-1.4,-1.19,1.2,3,0.0,0,3,0.42,0,0.76,2,2,-1.02,1.05,79.7,0.085,0,0.382,0
AGT101477,20,8,101,Job Portal,Rotational,Chat,Undergraduate,1,1,1.108,6,2,8.0,4.11,-13.4,-12.98,13.7,3,16.3,2,3,0.5,0,1.55,3,6,3.43,2.6,80.6,0.322,1,0.283,1
AGT101478,25,11,41,Referral,Day Fixed,Voice-Support,Postgraduate,0,1,0.882,0,1,10.6,5.3,-6.0,-10.04,14.5,3,11.6,4,0,0.0,2,2.12,2,3,3.58,1.07,86.4,0.385,3,0.425,0
AGT101479,36,10,42,Job Portal,Rotational,Escalations,Graduate,0,4,0.928,19,0,-3.6,5.01,-3.0,-5.15,8.3,3,2.1,1,3,0.62,0,1.34,2,1,3.32,-0.24,84.3,0.144,0,0.14,1
AGT101480,29,76,64,Walk-in,Night Fixed,Chat,Postgraduate,0,3,1.019,8,0,2.4,-2.24,1.8,0.48,2.0,0,0.0,0,0,0.0,0,0.73,1,1,0.59,-1.04,79.6,0.031,2,0.318,0
AGT101481,30,9,54,Job Portal,Rotational,Email,Postgraduate,1,3,0.985,1,0,6.9,-1.41,-3.0,-0.35,5.8,5,1.6,2,2,0.17,2,1.26,1,2,1.85,1.2,85.5,0.133,1,0.516,0
AGT101482,28,37,22,Referral,Split,Voice-Support,Graduate,1,3,1.23,12,0,-12.6,-2.49,4.1,4.07,0.0,0,0.0,0,0,0.0,0,0.0,2,2,-2.27,1.12,71.6,0.104,0,0.301,0
AGT101483,29,25,31,Job Portal,Day Fixed,Escalations,Graduate,0,0,0.828,9,0,-7.0,-0.69,-1.9,-1.78,0.0,0,0.0,0,0,0.0,0,0.15,0,1,2.08,2.03,90.2,0.056,2,0.208,0
AGT101484,31,18,70,Job Portal,Night Fixed,Chat,Graduate,0,4,0.962,4,1,-8.9,-0.84,1.4,-5.18,6.2,1,0.0,1,1,0.3,0,0.58,0,1,0.68,-0.19,79.4,0.088,3,0.178,0
AGT101485,23,1,55,Job Portal,Day Fixed,Voice-Support,Undergraduate,3,1,1.079,8,0,4.8,-1.29,-4.8,1.29,0.0,1,4.2,0,0,0.0,0,0.73,0,0,-0.57,0.16,72.2,0.231,1,0.245,0
AGT101486,31,8,102,Referral,Rotational,Chat,Graduate,1,1,0.956,2,0,5.6,1.78,6.9,1.07,0.0,0,0.0,0,0,0.0,0,0.33,0,1,0.98,-1.03,90.3,0.109,0,0.343,0
AGT101487,20,39,51,Job Portal,Day Fixed,Voice-Support,Graduate,1,3,1.0,7,0,2.5,1.08,-9.6,0.03,10.6,2,10.0,0,4,0.55,0,0.45,1,1,1.9,-0.56,84.8,0.141,0,0.252,0
AGT101488,29,22,56,Job Portal,Night Fixed,Email,Graduate,0,1,1.258,11,1,-3.3,-0.48,-1.5,1.79,0.0,0,0.0,0,0,0.0,0,0.18,1,2,-2.9,1.25,87.3,0.288,1,0.283,0
AGT101489,28,34,28,Referral,Rotational,Email,Graduate,0,2,1.007,13,0,1.4,0.91,-5.8,-3.46,6.2,0,0.0,0,0,0.0,0,0.98,0,0,-0.34,0.47,95.2,0.116,2,0.186,0
AGT101490,24,8,75,Referral,Night Fixed,Voice-Collections,Undergraduate,2,1,1.14,7,0,1.9,-2.22,-2.3,1.6,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0.46,-0.57,90.1,0.19,3,0.058,0
AGT101491,27,1,11,Job Portal,Rotational,Voice-Support,Undergraduate,2,3,1.065,9,1,14.5,0.78,-8.4,-5.64,12.9,2,5.4,0,1,0.42,0,1.24,0,1,2.23,1.46,91.9,0.249,2,0.506,0
AGT101492,24,30,46,Job Portal,Day Fixed,Email,Graduate,0,1,1.074,7,0,4.6,-1.57,-2.8,-0.71,0.0,0,0.0,0,0,0.0,0,0.8,0,0,-2.7,0.72,86.5,0.071,1,0.378,0
AGT101493,22,11,57,Referral,Split,Email,Postgraduate,0,3,0.98,5,0,8.5,1.73,-2.3,-5.55,8.7,4,12.5,1,3,0.19,3,0.97,1,2,-1.02,1.38,97.4,0.215,0,0.33,0
AGT101494,25,5,49,Walk-in,Rotational,Voice-Collections,Undergraduate,1,1,0.837,4,0,9.3,5.42,-9.6,-5.1,8.3,5,11.1,4,5,0.75,3,1.92,2,2,5.3,1.11,87.1,0.385,3,0.177,1
AGT101495,21,10,42,Referral,Night Fixed,Chat,Postgraduate,0,4,1.109,10,0,-0.4,1.35,-6.3,-0.54,10.2,4,2.4,2,2,0.54,0,1.59,3,3,-0.45,1.55,76.0,0.343,4,0.305,0
AGT101496,29,7,39,Referral,Day Fixed,Voice-Support,Graduate,4,1,1.056,4,0,1.8,0.86,3.7,-3.77,0.0,0,0.0,0,0,0.0,0,0.41,1,0,1.96,-0.75,74.8,0.161,0,0.478,0
AGT101497,21,4,43,Referral,Night Fixed,Voice-Support,Graduate,1,3,1.054,3,1,-6.4,0.85,4.5,-2.76,0.0,1,7.0,0,0,0.0,0,0.82,2,0,-1.05,0.74,89.4,0.17,2,0.166,0
AGT101498,31,9,23,Referral,Rotational,Escalations,Undergraduate,3,2,0.985,14,0,-1.8,-1.26,3.2,0.98,0.0,0,0.0,0,0,0.0,0,0.18,1,1,0.49,1.2,78.9,0.201,2,0.41,0
AGT101499,21,3,49,Job Portal,Day Fixed,Chat,Undergraduate,0,1,0.935,0,3,-4.4,-2.23,1.1,1.31,5.7,0,0.0,0,3,0.31,0,0.72,1,1,-0.22,1.1,85.3,0.129,2,0.159,0
AGT101500,24,48,28,Referral,Split,Voice-Support,Graduate,1,5,1.132,9,0,-5.2,3.07,-3.0,0.82,8.8,2,5.7,1,0,0.0,0,1.28,1,0,0.02,0.64,88.0,0.192,2,0.28,0
